Employee_ID,Qtr1,Qtr2,Qtr3,Qtr4,Recipients,Paid_By
121078,15,15,15,15,"Mitleid International 80%, Save the Baby Animals 20%",Credit Card
121079,10,10,10,10,"EarthSalvors 20%, Vox Victimas 80%",Payroll Deduction
121083,15,15,15,15,"AquaMissions International 90%, Child Survivors 10%",Payroll Deduction
121086,,10,10,,"Mitleid International 30%, Save the Baby Animals 70%",Cash or Check
121089,15,15,15,15,"AquaMissions International 70%, Child Survivors 30%",Payroll Deduction
121093,5,,,,"Conserve Nature, Inc.",Cash or Check
121097,10,10,10,10,"Cuidadores Ltd. 80%, Mitleid International 20%",Credit Card
121100,5,5,5,5,"Cuidadores Ltd. 60%, Mitleid International 40%",Payroll Deduction
121101,5,,10,5,"Disaster Assist, Inc. 50%, Cancer Cures, Inc. 50%",Cash or Check
121102,5,5,5,5,"Cancer Cures, Inc.",Credit Card
121103,10,10,10,10,Save the Baby Animals,Payroll Deduction
121105,15,15,15,15,"Disaster Assist, Inc.",Payroll Deduction
121125,10,,,,"Cancer Cures, Inc. 70%, Cuidadores Ltd. 30%",Credit Card
121126,10,,,,"Save the Baby Animals 60%, EarthSalvors 40%",Payroll Deduction
121128,10,,,,"Cancer Cures, Inc.",Credit Card
121129,10,,,,"Cuidadores Ltd. 60%, Mitleid International 40%",Cash or Check
121131,10,,,,"Vox Victimas 40%, Conserve Nature, Inc. 60%",Payroll Deduction
121132,10,,,,"EarthSalvors 50%, Vox Victimas 50%",Credit Card
121133,5,,,,"Disaster Assist, Inc.",Payroll Deduction
121134,5,,,,"Save the Baby Animals 40%, EarthSalvors 60%",Cash or Check
121136,5,5,5,5,"Disaster Assist, Inc. 10%, Cancer Cures, Inc. 90%",Cash or Check
121138,10,10,10,10,Cuidadores Ltd.,Payroll Deduction
121140,10,10,10,10,"Conserve Nature, Inc. 40%, AquaMissions International 60%",Credit Card
121142,35,35,35,35,"AquaMissions International 10%, Child Survivors 90%",Payroll Deduction
121143,35,35,35,35,"Mitleid International 60%, Save the Baby Animals 40%",Payroll Deduction
121145,35,35,35,35,Save the Baby Animals,Payroll Deduction
121147,10,10,10,10,"Cuidadores Ltd. 50%, Mitleid International 50%",Payroll Deduction
