phase,year,plot,plot_num,plot_dir,rotation,corn,crop,variety,all_corn,yield_bush,yield_ton,treated,treatment,manure,lime,nit,p205,k20,stover,population,plant_date,plant_day,soil_sample,damage,notes
5,2021,,3,SW,1,true,CC,NA,false,327,NA,true,LNPK,NA,NA,200,59.192,59.192,NA,31944,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SE,1,true,CC,NA,false,247,NA,true,MLP,410,NA,NA,NA,NA,NA,32912,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,3,SE,1,true,CC,NA,false,245,NA,true,MLP,410,NA,NA,NA,NA,NA,35235,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NW,2,true,C,NA,false,119,NA,false,none,NA,NA,NA,NA,NA,NA,35719,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NW,2,true,C,NA,false,260,NA,true,LNPK,NA,NA,200,69.328,69.328,NA,30202,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NE,2,true,C,NA,false,84,NA,false,none,NA,NA,NA,NA,NA,NA,32234,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,NE,2,true,C,NA,false,86,NA,false,none,NA,NA,NA,NA,NA,NA,33977,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SW,2,true,C,NA,false,311,NA,true,LNPK,NA,NA,200,57.512,57.512,NA,34848,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SW,2,true,C,NA,false,289,NA,true,LNPK,NA,NA,200,75.208,75.208,NA,33686,NA,NA,true,NA,"(Urea for N+14:14:14) based on grain removal of previous crop and used limiting P or K value; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SE,2,true,C,NA,false,285,NA,true,MLP,500,NA,NA,NA,NA,NA,36300,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,4,SE,2,true,C,NA,false,260,NA,true,MLP,500,NA,NA,NA,NA,NA,33977,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NW,3,true,C,NA,false,130,NA,false,none,NA,NA,NA,NA,NA,NA,33106,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NW,3,true,C,NA,false,295,NA,true,LNPK,NA,NA,200,NA,NA,NA,33686,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NE,3,true,C,NA,false,114,NA,false,none,NA,NA,NA,NA,NA,NA,32815,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,NE,3,true,C,NA,false,126,NA,false,none,NA,NA,NA,NA,NA,NA,35719,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SW,3,true,C,NA,false,290,NA,true,LNPK,NA,NA,200,NA,NA,NA,33106,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SW,3,true,C,NA,false,279,NA,true,LNPK,NA,NA,200,NA,NA,NA,32525,NA,NA,true,NA,"Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SE,3,true,C,NA,false,296,NA,true,MLP,570,NA,NA,NA,NA,NA,35429,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
5,2021,,5,SE,3,true,C,NA,false,285,NA,true,MLP,570,NA,NA,NA,NA,NA,32525,NA,NA,true,NA,"Target rate of 200#N/A from manure; Target lbs/plot was 473.94 lbs/A due to half of N being available during first year.; Population, plants/ac numbers based on stand counts from hand harvesting"
